0	9.44597E-7
0.1	0.00117
0.2	0.00236
0.3	0.00362
0.4	0.00494
0.5	0.00639
0.6	0.00793
0.7	0.00972
0.8	0.01203
0.9	0.01413
1	0.01658
1.1	0.01968
1.2	0.0223
1.3	0.02584
1.4	0.02918
1.5	0.03304
1.6	0.03706
1.7	0.04264
1.8	0.0474
1.9	0.05419
2	0.07235
2.1	0.06968
2.2	0.07302
2.3	0.08351
2.4	0.99999
2.5	0.99999
2.6	0.99999
2.7	0.99999
2.8	0.99999
2.9	0.99999
3	0.99999
3.1	0.99999
3.2	0.99999
3.3	0.99999
3.4	0.99999
3.5	0.99999
3.6	0.99999
3.7	0.99999
3.8	0.99999
3.9	0.99999
4	0.99999
4.1	0.99999
4.2	0.99999
4.3	0.99999
4.4	0.99999
4.5	0.99999
4.6	0.99999
4.7	0.99999
4.8	0.99999
4.9	0.99999
5	0.99999
4.9	0.99999
4.8	0.99999
4.7	0.99999
4.6	0.99999
4.5	0.99999
4.4	0.99999
4.3	0.99999
4.2	0.99999
4.1	0.99999
4	0.99999
3.9	0.99999
3.8	0.99999
3.7	0.99999
3.6	0.99999
3.5	0.99999
3.4	0.99999
3.3	0.99999
3.2	0.99999
3.1	0.99999
3	0.99999
2.9	0.99999
2.8	0.99999
2.7	0.99999
2.6	0.99999
2.5	0.99999
2.4	0.99999
2.3	0.99999
2.2	0.99999
2.1	0.99999
2	0.99999
1.9	0.99999
1.8	0.99999
1.7	0.99999
1.6	0.99999
1.5	0.99999
1.4	0.99999
1.3	0.99999
1.2	0.99999
1.1	0.99999
1	0.99999
0.9	0.99999
0.8	0.99999
0.7	0.99999
0.6	0.99999
0.5	0.99999
0.4	0.99999
0.3	0.99999
0.2	0.99999
0.1	0.66979
0	3.25E-4
-0.1	0.66781
-0.2	1.33878
-0.3	2.01464
-0.4	2.70254
-0.5	3.3964
-0.6	4.1023
-0.7	4.81892
-0.8	5.44275
-0.9	5.97504
-1	6.45431
-1.1	7.09258
-1.2	7.78381
-1.3	7.31394
-1.4	7.79006
-1.5	7.76652
-1.6	8.26561
-1.7	8.19117
-1.8	7.83631
-1.9	6.48461
-2	5.07215
-2.1	4.7719
-2.2	5.73923
-2.3	4.53775
-2.4	0.38179
-2.5	0.34499
-2.6	0.37726
-2.7	0.36811
-2.8	0.42644
-2.9	0.39215
-3	0.39508
-3.1	0.37353
-3.2	0.46607
-3.3	0.54881
-3.4	0.50482
-3.5	0.45912
-3.6	0.58219
-3.7	0.54426
-3.8	0.5302
-3.9	0.53674
-4	0.58582
-4.1	0.54561
-4.2	0.53076
-4.3	0.5671
-4.4	0.49804
-4.5	0.63499
-4.6	0.63394
-4.7	0.63061
-4.8	0.61663
-4.9	0.62773
-5	0.63011
-4.9	0.46226
-4.8	0.38127
-4.7	0.31767
-4.6	0.27453
-4.5	0.23974
-4.4	0.21507
-4.3	0.19353
-4.2	0.17531
-4.1	0.16016
-4	0.14682
-3.9	0.13459
-3.8	0.12378
-3.7	0.11433
-3.6	0.10548
-3.5	0.09805
-3.4	0.0912
-3.3	0.08453
-3.2	0.07843
-3.1	0.07304
-3	0.06777
-2.9	0.06304
-2.8	0.05879
-2.7	0.05473
-2.6	0.05077
-2.5	0.04721
-2.4	0.04381
-2.3	0.0407
-2.2	0.03765
-2.1	0.0348
-2	0.0321
-1.9	0.02943
-1.8	0.02708
-1.7	0.02472
-1.6	0.02249
-1.5	0.02044
-1.4	0.01849
-1.3	0.01668
-1.2	0.01488
-1.1	0.0132
-1	0.01158
-0.9	0.0101
-0.8	0.00866
-0.7	0.00731
-0.6	0.00605
-0.5	0.00485
-0.4	0.00375
-0.3	0.00271
-0.2	0.00176
-0.1	8.58E-4
0	5.61082E-9
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
