Labels	2# Normalised	3# Normalised	1# Normalised
Type	Emission Scan	Emission Scan	Emission Scan

423	5734.94482	3269.79932	3121.96826
424	5694.40771	3283.42944	3188.38647
425	5628.10547	3293.90967	3159.00635
426	5586.2666	3164.91992	3293.11597
427	5558.02734	3291.21924	3355.73438
428	5578.39502	3259.04956	3365.41846
429	5547.8374	3227.15137	3474.95044
430	5567.67188	3260.23755	3628.93945
431	5593.51416	3194.53125	3632.6731
432	5497.40186	3149.38208	3778.91284
433	5478.72949	3103.50098	3895.78442
434	5541.8667	3126.14404	3921.4563
435	5409.66309	3128.40649	3989.96997
436	5472.00635	2979.66724	4075.77563
437	5414.27881	2973.57642	4137.38135
438	5364.76904	2970.69043	4378.33691
439	5406.19775	2939.3042	4293.69873
440	5398.38525	2980.6189	4485.7793
441	5438.16064	2948.87915	4509.43213
442	5417.19824	2980.14844	4568.4751
443	5497.57178	3059.68042	4738.20605
444	5624.3418	3178.17847	4875.7417
445	5822.67529	3357.93872	5192.05762
446	5942.86475	3354.77563	5321.37598
447	5814.24316	3356.52197	5491.94873
448	5692.17041	3317.15088	5604.52686
449	5497.32715	3365.8877	5593.17676
450	5351.49512	3200.20605	5610.76611
451	5049.82764	3105.74976	5632.32373
452	4873.90332	3082.0249	5622.02246
453	4697.15625	3090.97119	5509.74854
454	4602.73682	2920.85205	5680.39551
455	4519.32813	2909.47192	5614.34717
456	4334.42139	2847.79736	5579.81152
457	4358.09424	2814.70801	5507.96729
458	4275.58887	2784.05566	5387.2041
459	4265.57813	2722.75317	5420.1748
460	4259.36963	2673.6123	5456.80713
461	4261.85107	2684.65088	5314.55225
462	4306.84229	2684.25464	5411.10742
463	4342.77295	2643.28198	5390.25684
464	4302.99414	2693.91992	5168.69141
465	4254.93311	2603.72461	5172.64844
466	4351.75635	2567.9519	5099.75732
467	4280.56934	2607.1272	5031.03906
468	4271.51367	2600.83496	5005.07666
469	4276.12207	2510.03564	4921.29688
470	4196.37842	2500.2146	4856.32324
471	4234.52832	2521.53857	4870.69043
472	4236.33496	2557.60718	4776.12256
473	4180.27393	2546.97144	4600.02441
474	4219.17725	2527.43359	4707.70313
475	4151.82031	2515.43042	4515.43945
476	4196.04639	2451.75146	4393.95996
477	4094.58325	2371.56714	4320.22656
478	4133.76416	2475.77588	4258.13721
479	4071.28955	2427.22461	4100.18994
480	4083.73584	2425.35205	4041.375
481	4028.43872	2476.47754	3963.27051
482	4018.9187	2415.16846	3858.44946
483	4010.39941	2407.34204	3741.05835
484	4024.76855	2447.65356	3649.54053
485	4017.71411	2401.8147	3710.052
486	3985.3562	2435.10742	3683.43896
487	3988.39551	2410.01123	3463.05591
488	3982.62866	2467.13306	3520.49902
489	3992.00171	2437.97998	3363.9873
490	3900.13867	2407.1272	3277.71118
491	3958.1582	2400.03638	3210.64233
492	3927.17529	2472.97217	3200.4519
493	4004.2583	2550.19092	3027.37061
494	3924.72632	2455.43726	2990.42627
495	3976.50122	2483.10083	2943.03784
496	3992.35254	2467.52319	2861.04541
497	3967.65356	2439.4751	2869.20679
498	3979.45776	2514.89136	2877.24268
499	3902.98389	2483.11157	2804.69409
500	3947.05347	2556.7605	2674.15308
501	3966.6521	2499.2417	2722.88379
502	4033.87866	2530.28174	2613.11255
503	3992.06299	2541.07642	2609.70557
504	4065.09033	2516.5813	2554.05859
505	4026.05542	2523.23535	2469.27441
506	4069.68726	2607.5835	2381.04224
507	4068.41675	2604.46387	2448.42505
508	4121.79492	2628.27075	2398.10938
509	4145.22266	2676.91406	2317.34033
510	4203.71436	2635.93896	2312.81543
511	4159.35547	2602.79712	2237.65942
512	4185.45557	2700.51221	2247.83667
513	4272.25977	2715.95557	2210.82813
514	4218.69043	2658.86841	2171.41821
515	4265.16699	2681.40771	2231.79614
516	4239.68408	2792.91357	2197.73682
517	4266.45264	2750.05566	2200.33276
518	4289.0791	2744.18188	2127.64844
