		0.11569	9.71181E-4	1.60095	0.0212	4.34568	0.19125
		0.11593	9.73431E-4	1.60244	0.02124	4.34634	0.19147
		0.11617	9.75686E-4	1.60393	0.02127	4.347	0.19168
		0.11641	9.77946E-4	1.60543	0.02131	4.34765	0.1919
		0.11665	9.80211E-4	1.60692	0.02135	4.34831	0.19212
		0.1169	9.82482E-4	1.60842	0.02139	4.34897	0.19233
		0.11714	9.84757E-4	1.60991	0.02143	4.34962	0.19255
		0.11738	9.87039E-4	1.61141	0.02146	4.35028	0.19277
		0.11763	9.89325E-4	1.61291	0.0215	4.35094	0.19299
		0.11787	9.91617E-4	1.61441	0.02154	4.35159	0.19321
		0.11812	9.93914E-4	1.61592	0.02158	4.35225	0.19343
		0.11837	9.96216E-4	1.61742	0.02162	4.35291	0.19365
		0.11861	9.98523E-4	1.61893	0.02166	4.35356	0.19387
		0.11886	0.001	1.62043	0.02169	4.35422	0.19408
		0.11911	0.001	1.62194	0.02173	4.35488	0.1943
		0.11935	0.00101	1.62345	0.02177	4.35554	0.19453
		0.1196	0.00101	1.62496	0.02181	4.35619	0.19475
		0.11985	0.00101	1.62648	0.02185	4.35685	0.19497
		0.1201	0.00101	1.62799	0.02189	4.35751	0.19519
		0.12035	0.00101	1.62951	0.02193	4.35817	0.19541
		0.1206	0.00102	1.63102	0.02197	4.35883	0.19563
		0.12085	0.00102	1.63254	0.02201	4.35948	0.19585
		0.12111	0.00102	1.63406	0.02205	4.36014	0.19607
		0.12136	0.00102	1.63558	0.02208	4.3608	0.1963
		0.12161	0.00103	1.6371	0.02212	4.36146	0.19652
		0.12187	0.00103	1.63863	0.02216	4.36212	0.19674
		0.12212	0.00103	1.64015	0.0222	4.36278	0.19696
		0.12237	0.00103	1.64168	0.02224	4.36343	0.19719
		0.12263	0.00104	1.64321	0.02228	4.36409	0.19741
		0.12288	0.00104	1.64474	0.02232	4.36475	0.19763
		0.12314	0.00104	1.64627	0.02236	4.36541	0.19786
		0.1234	0.00104	1.6478	0.0224	4.36607	0.19808
		0.12365	0.00105	1.64934	0.02244	4.36673	0.19831
		0.12391	0.00105	1.65087	0.02248	4.36739	0.19853
		0.12417	0.00105	1.65241	0.02252	4.36805	0.19876
		0.12443	0.00105	1.65395	0.02256	4.36871	0.19898
		0.12469	0.00106	1.65549	0.0226	4.36937	0.19921
		0.12495	0.00106	1.65703	0.02264	4.37003	0.19943
		0.12521	0.00106	1.65857	0.02268	4.37069	0.19966
		0.12547	0.00106	1.66011	0.02272	4.37135	0.19988
		0.12573	0.00107	1.66166	0.02276	4.37201	0.20011
		0.12599	0.00107	1.66321	0.0228	4.37267	0.20034
		0.12625	0.00107	1.66475	0.02284	4.37333	0.20057
		0.12652	0.00107	1.6663	0.02289	4.37399	0.20079
		0.12678	0.00108	1.66785	0.02293	4.37465	0.20102
		0.12705	0.00108	1.66941	0.02297	4.37531	0.20125
		0.12731	0.00108	1.67096	0.02301	4.37597	0.20148
		0.12758	0.00108	1.67252	0.02305	4.37663	0.2017
		0.12784	0.00109	1.67407	0.02309	4.37729	0.20193
		0.12811	0.00109	1.67563	0.02313	4.37795	0.20216
		0.12837	0.00109	1.67719	0.02317	4.37861	0.20239
		0.12864	0.00109	1.67875	0.02321	4.37927	0.20262
		0.12891	0.0011	1.68032	0.02326	4.37993	0.20285
		0.12918	0.0011	1.68188	0.0233	4.3806	0.20308
		0.12945	0.0011	1.68345	0.02334	4.38126	0.20331
		0.12972	0.0011	1.68501	0.02338	4.38192	0.20354
		0.12999	0.00111	1.68658	0.02342	4.38258	0.20377
		0.13026	0.00111	1.68815	0.02346	4.38324	0.204
		0.13053	0.00111	1.68972	0.02351	4.3839	0.20423
		0.1308	0.00111	1.6913	0.02355	4.38457	0.20446
		0.13107	0.00112	1.69287	0.02359	4.38523	0.2047
		0.13135	0.00112	1.69445	0.02363	4.38589	0.20493
		0.13162	0.00112	1.69602	0.02367	4.38655	0.20516
		0.1319	0.00112	1.6976	0.02372	4.38721	0.20539
		0.13217	0.00113	1.69918	0.02376	4.38788	0.20563
		0.13245	0.00113	1.70076	0.0238	4.38854	0.20586
		0.13272	0.00113	1.70235	0.02384	4.3892	0.20609
		0.133	0.00113	1.70393	0.02389	4.38986	0.20633
		0.13328	0.00114	1.70552	0.02393	4.39053	0.20656
		0.13355	0.00114	1.70711	0.02397	4.39119	0.20679
		0.13383	0.00114	1.7087	0.02401	4.39185	0.20703
		0.13411	0.00114	1.71029	0.02406	4.39252	0.20726
		0.13439	0.00115	1.71188	0.0241	4.39318	0.2075
		0.13467	0.00115	1.71347	0.02414	4.39384	0.20773
		0.13495	0.00115	1.71507	0.02418	4.39451	0.20797
		0.13523	0.00116	1.71666	0.02423	4.39517	0.2082
		0.13551	0.00116	1.71826	0.02427	4.39583	0.20844
		0.1358	0.00116	1.71986	0.02431	4.3965	0.20868
		0.13608	0.00116	1.72146	0.02436	4.39716	0.20891
		0.13636	0.00117	1.72306	0.0244	4.39783	0.20915
		0.13665	0.00117	1.72467	0.02444	4.39849	0.20939
		0.13693	0.00117	1.72627	0.02449	4.39915	0.20962
		0.13722	0.00117	1.72788	0.02453	4.39982	0.20986
		0.1375	0.00118	1.72949	0.02458	4.40048	0.2101
		0.13779	0.00118	1.7311	0.02462	4.40115	0.21034
		0.13808	0.00118	1.73271	0.02466	4.40181	0.21057
		0.13836	0.00118	1.73432	0.02471	4.40248	0.21081
		0.13865	0.00119	1.73594	0.02475	4.40314	0.21105
		0.13894	0.00119	1.73755	0.0248	4.4038	0.21129
		0.13923	0.00119	1.73917	0.02484	4.40447	0.21153
