BE_O 1s/8	CPS_O 1s/8	O 1s_1_O 1s/8	O 1s_2_O 1s/8	O 1s_3_O 1s/8	Background_O 1s/8
532.064	10677.3	8818.04	8091.05	7830.54	7081.16
531.964	10734.1	9123.17	8097.34	7771.77	7079.07
531.864	11023.6	9472.13	8095.85	7709.38	7076.87
531.764	11348.8	9866.12	8086.66	7645.34	7074.64
531.664	11852.3	10305.8	8069.88	7581.33	7072.33
531.564	12315.5	10790.7	8045.77	7518.85	7069.89
531.464	12556.6	11317.2	8014.94	7459.22	7067.42
531.364	13433.8	11882.1	7978.06	7403.38	7064.87
531.264	13740.8	12477.5	7935.86	7351.96	7062.23
531.164	14270.3	13094.8	7889.18	7305.33	7059.48
531.064	14612.4	13723	7838.92	7263.62	7056.59
530.964	15455	14349.4	7786.02	7226.79	7053.59
530.864	15584.4	14959.3	7731.38	7194.53	7050.43
530.764	16186.5	15538.3	7675.94	7166.53	7047.17
530.664	16945	16069.7	7620.5	7142.37	7043.79
530.564	17246.2	16539.3	7565.87	7121.61	7040.32
530.464	17575.7	16932.8	7512.77	7103.89	7036.86
530.364	17720.9	17237.1	7461.81	7088.79	7033.43
530.264	17973.9	17444.7	7413.53	7076.01	7030.15
530.164	17924.4	17545	7368.29	7065.2	7027.05
530.064	17872.6	17538.5	7326.43	7056.16	7024.26
529.964	17616.2	17423.1	7288.14	7048.68	7021.84
529.864	17459.7	17203.3	7253.4	7042.49	7019.74
529.764	17210.4	16886.7	7222.31	7037.51	7018.08
529.664	16776.4	16481.8	7194.64	7033.47	7016.76
529.564	16472	16003	7170.25	7030.25	7015.77
529.464	15709.1	15462.6	7148.83	7027.64	7014.99
529.364	15204.1	14877.2	7130.14	7025.51	7014.39
529.264	14471.6	14261.8	7113.96	7023.8	7013.96
529.164	13526.6	13631.5	7100.05	7022.45	7013.7
529.064	13283	13000.5	7088.07	7021.32	7013.48
528.964	12253.3	12381.8	7077.81	7020.39	7013.33
528.864	11947.8	11785.6	7069.05	7019.61	7013.23
528.764	11175.4	11221.2	7061.56	7018.92	7013.13
528.664	10642.2	10694.8	7055.2	7018.35	7013.08
528.564	10352.4	10210.9	7049.78	7017.85	7013.03
528.464	9909.1	9772.5	7045.18	7017.42	7013
528.364	9511.71	9379.36	7041.28	7017.06	7012.99
528.264	8860.91	9032.19	7037.95	7016.74	7012.99
528.164	8653.4	8727.8	7035.09	7016.43	7012.96
528.064	8387.07	8464.16	7032.65	7016.16	7012.95
527.964	8288.42	8237.82	7030.56	7015.92	7012.94
527.864	8163.34	8044.75	7028.75	7015.7	7012.93
527.764	7798.8	7881.95	7027.19	7015.51	7012.92
527.664	7750.13	7744.8	7025.84	7015.33	7012.92
527.564	7604.41	7630.41	7024.65	7015.16	7012.9
527.464	7547.92	7535.09	7023.61	7015.01	7012.9
527.364	7467.75	7455.95	7022.7	7014.87	7012.89
527.264	7429.81	7438.94	7070.35	7063.2	7061.33
527.164	7315.98	7305.92	6990.97	6984.42	6982.67
527.064	7318.37	7309.05	7038.34	7032.32	7030.67
526.964	7315.03	7306.37	7072.44	7066.89	7065.33
526.864	7163.38	7155.31	6951.93	6946.8	6945.33
526.764	7156.88	7149.35	6971.47	6966.72	6965.33
526.664	7153.9	7146.86	6990.39	6985.98	6984.67
526.564	7168.41	7161.81	7023.35	7019.25	7018
526.464	7159.05	7152.86	7029.67	7025.85	7024.67
526.364	7096.04	7090.23	6980.03	6976.46	6975.33
526.264	7196.28	7190.8	7091.74	7088.4	7087.33
526.164	7128.77	7123.61	7034.15	7031.01	7030
526.064	7149.25	7144.38	7063.24	7060.3	7059.33
525.964	7190.82	7186.22	7112.35	7109.59	7108.67
525.864	7123.33	7118.98	7051.48	7048.88	7048
525.764	7082.61	7078.49	7016.62	7014.17	7013.33
525.664	7055.24	7051.33	6994.44	6992.13	6991.33
525.564	7082.43	7078.72	7026.28	7024.1	7023.33
525.464	7114.78	7111.26	7062.8	7060.73	7060
525.364	7098.23	7094.88	7049.99	7048.03	7047.33
525.264	7132.05	7128.86	7087.19	7085.33	7084.67
525.164	7062.21	7059.17	7020.4	7018.64	7018
525.064	7085.98	7083.09	7046.95	7045.28	7044.67
524.964	7046.68	7043.91	7010.18	7008.59	7008
524.864	7083.61	7080.96	7049.41	7047.9	7047.33
524.764	7064.08	7061.54	7031.98	7030.56	7030
524.664	7118.05	7115.63	7087.89	7086.54	7086
524.564	7066.19	7063.86	7037.81	7036.51	7036
524.464	7167.8	7165.58	7141.06	7139.82	7139.33
524.364	7206.87	7204.75	7181.66	7180.47	7180
524.264	7089.4	7087.37	7065.59	7064.45	7064
524.164	6997.38	6995.42	6974.85	6973.77	6973.33
524.064	7022.12	7020.24	7000.79	6999.75	6999.33
523.964	7060.28	7058.47	7040.07	7039.07	7038.67
523.864	7031.18	7029.45	7012.01	7011.06	7010.67
523.764	6999.5	6997.83	6981.29	6980.38	6980
523.664	7121.21	7119.6	7103.91	7103.03	7102.67
523.564	7112.99	7111.44	7096.53	7095.69	7095.33
523.464	7100.82	7099.33	7085.15	7084.34	7084
523.364	7062.04	7060.6	7047.11	7046.33	7046
523.264	7052.64	7051.26	7038.4	7037.65	7037.33
523.164	7105.95	7104.62	7092.36	7091.64	7091.33
523.064	7185.3	7184.02	7172.32	7171.63	7171.33
