4.9	1	0.99999	4.9	50	0.99999	4.9	100	0.99999	4.9	150	0.99999	4.9	200	0.99999
4.8	1	0.99999	4.8	50	0.99999	4.8	100	0.99999	4.8	150	0.99999	4.8	200	0.99999
4.7	1	0.99999	4.7	50	0.99999	4.7	100	0.99999	4.7	150	0.99999	4.7	200	0.99999
4.6	1	0.99999	4.6	50	0.99999	4.6	100	0.99999	4.6	150	0.99999	4.6	200	0.99999
4.5	1	0.99999	4.5	50	0.99999	4.5	100	0.99999	4.5	150	0.99999	4.5	200	0.99999
4.4	1	0.99999	4.4	50	0.99999	4.4	100	0.99999	4.4	150	0.99999	4.4	200	0.99999
4.3	1	0.99999	4.3	50	0.99999	4.3	100	0.99999	4.3	150	0.99999	4.3	200	0.99999
4.2	1	0.99999	4.2	50	0.99999	4.2	100	0.99999	4.2	150	0.99999	4.2	200	0.99999
4.1	1	0.99999	4.1	50	0.99999	4.1	100	0.99999	4.1	150	0.99999	4.1	200	0.99999
4	1	0.99999	4	50	0.99999	4	100	0.99999	4	150	0.99999	4	200	0.99999
3.9	1	0.99999	3.9	50	0.99999	3.9	100	0.99999	3.9	150	0.99999	3.9	200	0.99999
3.8	1	0.99999	3.8	50	0.99999	3.8	100	0.99999	3.8	150	0.99999	3.8	200	0.99999
3.7	1	0.99999	3.7	50	0.99999	3.7	100	0.99999	3.7	150	0.99999	3.7	200	0.99999
3.6	1	0.99999	3.6	50	0.99999	3.6	100	0.99999	3.6	150	0.99999	3.6	200	0.99999
3.5	1	0.99999	3.5	50	0.99999	3.5	100	0.99999	3.5	150	0.99999	3.5	200	0.99999
3.4	1	0.99999	3.4	50	0.99999	3.4	100	0.99999	3.4	150	0.99999	3.4	200	0.99999
3.3	1	0.99999	3.3	50	0.99999	3.3	100	0.99999	3.3	150	0.99999	3.3	200	0.99999
3.2	1	0.99999	3.2	50	0.99999	3.2	100	0.99999	3.2	150	0.99999	3.2	200	0.99999
3.1	1	0.99999	3.1	50	0.99999	3.1	100	0.99999	3.1	150	0.99999	3.1	200	0.99999
3	1	0.99999	3	50	0.99999	3	100	0.99999	3	150	0.99999	3	200	0.99999
2.9	1	0.99999	2.9	50	0.99999	2.9	100	0.99999	2.9	150	0.99999	2.9	200	0.99999
2.8	1	0.99999	2.8	50	0.99999	2.8	100	0.99999	2.8	150	0.99999	2.8	200	0.99999
2.7	1	0.99999	2.7	50	0.99999	2.7	100	0.99999	2.7	150	0.99999	2.7	200	0.99999
2.6	1	0.99999	2.6	50	0.99999	2.6	100	0.99999	2.6	150	0.99999	2.6	200	0.99999
2.5	1	0.99999	2.5	50	0.99999	2.5	100	0.99999	2.5	150	0.99999	2.5	200	0.99999
2.4	1	0.99999	2.4	50	0.99999	2.4	100	0.99999	2.4	150	0.99999	2.4	200	0.99999
2.3	1	0.99999	2.3	50	0.99999	2.3	100	0.99999	2.3	150	0.99999	2.3	200	0.99999
2.2	1	0.99999	2.2	50	0.99999	2.2	100	0.99999	2.2	150	0.99999	2.2	200	0.99999
2.1	1	0.99999	2.1	50	0.99999	2.1	100	0.99999	2.1	150	0.99999	2.1	200	0.99999
2	1	0.99999	2	50	0.99999	2	100	0.99999	2	150	0.99999	2	200	0.99999
1.9	1	0.99999	1.9	50	0.99999	1.9	100	0.99999	1.9	150	0.99999	1.9	200	0.99999
1.8	1	0.99999	1.8	50	0.99999	1.8	100	0.99999	1.8	150	0.99999	1.8	200	0.99999
1.7	1	0.99999	1.7	50	0.99999	1.7	100	0.99999	1.7	150	0.99999	1.7	200	0.99999
1.6	1	0.99999	1.6	50	0.99999	1.6	100	0.99999	1.6	150	0.99999	1.6	200	0.99999
1.5	1	0.99999	1.5	50	0.99999	1.5	100	0.99999	1.5	150	0.99999	1.5	200	0.99999
1.4	1	0.99999	1.4	50	0.99999	1.4	100	0.99999	1.4	150	0.99999	1.4	200	0.99999
1.3	1	0.99999	1.3	50	0.99999	1.3	100	0.99999	1.3	150	0.99999	1.3	200	0.99999
1.2	1	0.99999	1.2	50	0.99999	1.2	100	0.99999	1.2	150	0.99999	1.2	200	0.99999
1.1	1	0.99999	1.1	50	0.99999	1.1	100	0.99999	1.1	150	0.99999	1.1	200	0.99999
1	1	0.99999	1	50	0.99999	1	100	0.99999	1	150	0.99999	1	200	0.99999
0.9	1	0.99999	0.9	50	0.99999	0.9	100	0.99999	0.9	150	0.99999	0.9	200	0.99999
0.8	1	0.99999	0.8	50	0.99999	0.8	100	0.99999	0.8	150	0.99999	0.8	200	0.99999
0.7	1	0.99999	0.7	50	0.99999	0.7	100	0.99999	0.7	150	0.99999	0.7	200	0.99999
0.6	1	0.99999	0.6	50	0.99999	0.6	100	0.99999	0.6	150	0.99999	0.6	200	0.99999
0.5	1	0.99999	0.5	50	0.99999	0.5	100	0.99999	0.5	150	0.99999	0.5	200	0.99999
0.4	1	0.99999	0.4	50	0.99999	0.4	100	0.99999	0.4	150	0.99999	0.4	200	0.99999
0.3	1	0.99999	0.3	50	0.99999	0.3	100	0.99999	0.3	150	0.99999	0.3	200	0.99999
0.2	1	0.99999	0.2	50	0.99999	0.2	100	0.99999	0.2	150	0.99999	0.2	200	0.99999
0.1	1	0.66979	0.1	50	0.8332	0.1	100	0.61403	0.1	150	0.99999	0.1	200	0.99999
0	1	3.25E-4	0	50	3.38E-4	0	100	3.62E-4	0	150	5.05E-4	0	200	0.0013
-0.1	1	0.66781	-0.1	50	0.83134	-0.1	100	0.61321	-0.1	150	1.10219	-0.1	200	1.59302
-0.2	1	1.33878	-0.2	50	1.68786	-0.2	100	1.23827	-0.2	150	2.20853	-0.2	200	3.163
-0.3	1	2.01464	-0.3	50	2.59135	-0.3	100	1.88778	-0.3	150	3.32441	-0.3	200	4.69166
-0.4	1	2.70254	-0.4	50	3.54591	-0.4	100	2.57323	-0.4	150	4.45495	-0.4	200	6.16505
